,price,price_clipped,price_clipped_normalized,price_normalized
2023-01-01 22:30:00,4.596,4.596,0.1722549906067435,0.08766475289450093
2023-01-01 22:45:00,4.596,4.596,0.1722549906067435,0.08766475289450093
2023-01-01 23:00:00,3.5,3.5,0.13117764732889517,0.06675949415377573
2023-01-01 23:15:00,3.5,3.5,0.13117764732889517,0.06675949415377573
2023-01-01 23:30:00,3.5,3.5,0.13117764732889517,0.06675949415377573
2023-01-01 23:45:00,3.5,3.5,0.13117764732889517,0.06675949415377573
2023-01-02 00:00:00,5.791,5.791,0.21704278733760915,0.11045835161271865
2023-01-02 00:15:00,5.791,5.791,0.21704278733760915,0.11045835161271865
2023-01-02 00:30:00,5.791,5.791,0.21704278733760915,0.11045835161271865
2023-01-02 00:45:00,5.791,5.791,0.21704278733760915,0.11045835161271865
2023-01-02 01:00:00,5.167,5.167,0.19365568678525752,0.09855608751215976
2023-01-02 01:15:00,5.167,5.167,0.19365568678525752,0.09855608751215976
2023-01-02 01:30:00,5.167,5.167,0.19365568678525752,0.09855608751215976
2023-01-02 01:45:00,5.167,5.167,0.19365568678525752,0.09855608751215976
2023-01-02 02:00:00,5.293,5.293,0.19837808208909777,0.1009594293016957
2023-01-02 02:15:00,5.293,5.293,0.19837808208909777,0.1009594293016957
2023-01-02 02:30:00,5.293,5.293,0.19837808208909777,0.1009594293016957
2023-01-02 02:45:00,5.293,5.293,0.19837808208909777,0.1009594293016957
2023-01-02 03:00:00,4.409,4.409,0.16524635630659967,0.08409788849257062
2023-01-02 03:15:00,4.409,4.409,0.16524635630659967,0.08409788849257062
2023-01-02 03:30:00,4.409,4.409,0.16524635630659967,0.08409788849257062
2023-01-02 03:45:00,4.409,4.409,0.16524635630659967,0.08409788849257062
2023-01-02 04:00:00,5.008,5.008,0.18769647366374487,0.09552329906345967
2023-01-02 04:15:00,5.008,5.008,0.18769647366374487,0.09552329906345967
2023-01-02 04:30:00,5.008,5.008,0.18769647366374487,0.09552329906345967
2023-01-02 04:45:00,5.008,5.008,0.18769647366374487,0.09552329906345967
2023-01-02 05:00:00,6.972,6.972,0.26130587347915923,0.13298491235432125
2023-01-02 05:15:00,6.972,6.972,0.26130587347915923,0.13298491235432125
2023-01-02 05:30:00,6.972,6.972,0.26130587347915923,0.13298491235432125
2023-01-02 05:45:00,6.972,6.972,0.26130587347915923,0.13298491235432125
2023-01-02 06:00:00,10.508,10.508,0.39383277660915156,0.20043107559082152
2023-01-02 06:15:00,10.508,10.508,0.39383277660915156,0.20043107559082152
2023-01-02 06:30:00,10.508,10.508,0.39383277660915156,0.20043107559082152
2023-01-02 06:45:00,10.508,10.508,0.39383277660915156,0.20043107559082152
2023-01-02 07:00:00,14.064,14.064,0.5271092662953091,0.2682587216510577
2023-01-02 07:15:00,14.064,14.064,0.5271092662953091,0.2682587216510577
2023-01-02 07:30:00,14.064,14.064,0.5271092662953091,0.2682587216510577
2023-01-02 07:45:00,14.064,14.064,0.5271092662953091,0.2682587216510577
2023-01-02 08:00:00,14.598,14.598,0.5471232273449177,0.27844431304480516
2023-01-02 08:15:00,14.598,14.598,0.5471232273449177,0.27844431304480516
2023-01-02 08:30:00,14.598,14.598,0.5471232273449177,0.27844431304480516
2023-01-02 08:45:00,14.598,14.598,0.5471232273449177,0.27844431304480516
2023-01-02 09:00:00,14.705,14.705,0.551133515420401,0.28048524615179204
2023-01-02 09:15:00,14.705,14.705,0.551133515420401,0.28048524615179204
2023-01-02 09:30:00,14.705,14.705,0.551133515420401,0.28048524615179204
2023-01-02 09:45:00,14.705,14.705,0.551133515420401,0.28048524615179204
2023-01-02 10:00:00,14.561,14.561,0.5457364922160122,0.2777385698208938
2023-01-02 10:15:00,14.561,14.561,0.5457364922160122,0.2777385698208938
2023-01-02 10:30:00,14.561,14.561,0.5457364922160122,0.2777385698208938
2023-01-02 10:45:00,14.561,14.561,0.5457364922160122,0.2777385698208938
2023-01-02 11:00:00,14.335,14.335,0.5372661641313464,0.2734278139126786
2023-01-02 11:15:00,14.335,14.335,0.5372661641313464,0.2734278139126786
2023-01-02 11:30:00,14.335,14.335,0.5372661641313464,0.2734278139126786
2023-01-02 11:45:00,14.335,14.335,0.5372661641313464,0.2734278139126786
2023-01-02 12:00:00,14.438,14.438,0.5411265348955968,0.2753924504549183
2023-01-02 12:15:00,14.438,14.438,0.5411265348955968,0.2753924504549183
2023-01-02 12:30:00,14.438,14.438,0.5411265348955968,0.2753924504549183
2023-01-02 12:45:00,14.438,14.438,0.5411265348955968,0.2753924504549183
2023-01-02 13:00:00,14.376,14.376,0.5388028165714849,0.2742098537013371
2023-01-02 13:15:00,14.376,14.376,0.5388028165714849,0.2742098537013371
2023-01-02 13:30:00,14.376,14.376,0.5388028165714849,0.2742098537013371
2023-01-02 13:45:00,14.376,14.376,0.5388028165714849,0.2742098537013371
2023-01-02 14:00:00,14.82,14.82,0.5554436381183504,0.2826787723882732
2023-01-02 14:15:00,14.82,14.82,0.5554436381183504,0.2826787723882732
2023-01-02 14:30:00,14.82,14.82,0.5554436381183504,0.2826787723882732
2023-01-02 14:45:00,14.82,14.82,0.5554436381183504,0.2826787723882732
2023-01-02 15:00:00,15.534,15.534,0.5822038781734451,0.29629770919564347
2023-01-02 15:15:00,15.534,15.534,0.5822038781734451,0.29629770919564347
2023-01-02 15:30:00,15.534,15.534,0.5822038781734451,0.29629770919564347
2023-01-02 15:45:00,15.534,15.534,0.5822038781734451,0.29629770919564347
2023-01-02 16:00:00,16.289,16.289,0.6105007706686782,0.31069868579167226
2023-01-02 16:15:00,16.289,16.289,0.6105007706686782,0.31069868579167226
2023-01-02 16:30:00,16.289,16.289,0.6105007706686782,0.31069868579167226
2023-01-02 16:45:00,16.289,16.289,0.6105007706686782,0.31069868579167226
2023-01-02 17:00:00,17.0,17.0,0.637148572740348,0.3242604001754821
2023-01-02 17:15:00,17.0,17.0,0.637148572740348,0.3242604001754821
2023-01-02 17:30:00,17.0,17.0,0.637148572740348,0.3242604001754821
2023-01-02 17:45:00,17.0,17.0,0.637148572740348,0.3242604001754821
